"","DATE","HOUR","STATION","FSP","NO2","NOX","O3","RSP","SO2"
"70705","8/1/11",1,"CENTRAL/WESTERN",12,45,104,4,15,20
"70706","8/1/11",2,"CENTRAL/WESTERN",15,48,160,3,24,24
"70707","8/1/11",3,"CENTRAL/WESTERN",16,44,132,3,15,26
"70708","8/1/11",4,"CENTRAL/WESTERN",11,34,86,6,16,23
"70709","8/1/11",5,"CENTRAL/WESTERN",15,39,130,4,20,34
"70710","8/1/11",6,"CENTRAL/WESTERN",21,41,171,3,24,52
"70711","8/1/11",7,"CENTRAL/WESTERN",21,45,223,5,29,90
"70712","8/1/11",8,"CENTRAL/WESTERN",26,49,276,5,41,103
"70713","8/1/11",9,"CENTRAL/WESTERN",33,50,265,5,33,81
"70714","8/1/11",10,"CENTRAL/WESTERN",23,44,163,6,27,34
"70715","8/1/11",11,"CENTRAL/WESTERN",18,42,150,8,17,24
"70718","8/1/11",14,"CENTRAL/WESTERN",12,39,90,23,20,15
"70719","8/1/11",15,"CENTRAL/WESTERN",12,41,90,24,22,14
"70720","8/1/11",16,"CENTRAL/WESTERN",14,49,109,21,32,28
"70721","8/1/11",17,"CENTRAL/WESTERN",16,47,85,25,28,22
"70722","8/1/11",18,"CENTRAL/WESTERN",13,56,102,19,25,21
"70723","8/1/11",19,"CENTRAL/WESTERN",16,59,107,7,25,26
"70725","8/1/11",21,"CENTRAL/WESTERN",9,35,49,21,23,13
"70726","8/1/11",22,"CENTRAL/WESTERN",10,32,43,27,22,14
"70728","8/1/11",24,"CENTRAL/WESTERN",12,57,177,3,22,23
"70729","9/1/11",1,"CENTRAL/WESTERN",44,72,96,10,64,23
"70730","9/1/11",2,"CENTRAL/WESTERN",41,51,57,28,50,23
"70731","9/1/11",3,"CENTRAL/WESTERN",40,60,68,14,62,31
"70732","9/1/11",4,"CENTRAL/WESTERN",41,51,61,21,49,13
"70733","9/1/11",5,"CENTRAL/WESTERN",39,63,86,9,53,31
"70734","9/1/11",6,"CENTRAL/WESTERN",39,40,44,25,41,20
"70735","9/1/11",7,"CENTRAL/WESTERN",32,57,75,7,50,28
"70736","9/1/11",8,"CENTRAL/WESTERN",35,66,123,6,50,44
"70737","9/1/11",9,"CENTRAL/WESTERN",40,73,153,7,53,46
"70738","9/1/11",10,"CENTRAL/WESTERN",38,66,132,15,52,48
"70742","9/1/11",14,"CENTRAL/WESTERN",50,99,127,37,56,33
"70744","9/1/11",16,"CENTRAL/WESTERN",22,83,134,20,34,18
"70745","9/1/11",17,"CENTRAL/WESTERN",20,99,152,10,41,17
"70746","9/1/11",18,"CENTRAL/WESTERN",26,105,136,13,37,36
"70747","9/1/11",19,"CENTRAL/WESTERN",29,90,102,31,32,31
"70748","9/1/11",20,"CENTRAL/WESTERN",27,81,90,38,35,34
"70749","9/1/11",21,"CENTRAL/WESTERN",28,74,80,40,41,26
"70750","9/1/11",22,"CENTRAL/WESTERN",37,76,87,20,51,29
"70751","9/1/11",23,"CENTRAL/WESTERN",44,77,95,11,65,41
"70752","9/1/11",24,"CENTRAL/WESTERN",49,71,95,8,67,34
"70753","10/1/11",1,"CENTRAL/WESTERN",9,25,41,9,16,5
"70754","10/1/11",2,"CENTRAL/WESTERN",11,24,30,19,16,5
"70755","10/1/11",3,"CENTRAL/WESTERN",10,21,24,37,22,5
"70756","10/1/11",4,"CENTRAL/WESTERN",11,15,17,54,17,5
"70757","10/1/11",5,"CENTRAL/WESTERN",12,14,16,62,20,5
"70758","10/1/11",6,"CENTRAL/WESTERN",12,9,10,72,14,5
"70759","10/1/11",7,"CENTRAL/WESTERN",11,9,9,75,13,5
"70760","10/1/11",8,"CENTRAL/WESTERN",8,16,18,65,16,5
"70761","10/1/11",9,"CENTRAL/WESTERN",10,24,27,57,19,5
"70762","10/1/11",10,"CENTRAL/WESTERN",13,33,39,46,21,6
"70763","10/1/11",11,"CENTRAL/WESTERN",12,37,46,42,22,7
"70764","10/1/11",12,"CENTRAL/WESTERN",13,35,46,46,23,6
"70765","10/1/11",13,"CENTRAL/WESTERN",13,39,48,50,26,6
"70766","10/1/11",14,"CENTRAL/WESTERN",16,36,46,63,26,6
"70767","10/1/11",15,"CENTRAL/WESTERN",18,34,42,74,32,8
"70768","10/1/11",16,"CENTRAL/WESTERN",21,36,44,71,35,8
"70769","10/1/11",17,"CENTRAL/WESTERN",22,34,39,69,36,8
"70770","10/1/11",18,"CENTRAL/WESTERN",21,35,38,55,31,7
"70771","10/1/11",19,"CENTRAL/WESTERN",18,34,37,52,27,6
"70772","10/1/11",20,"CENTRAL/WESTERN",18,35,39,49,30,6
"70773","10/1/11",21,"CENTRAL/WESTERN",19,37,41,41,34,7
"70774","10/1/11",22,"CENTRAL/WESTERN",21,36,41,41,41,8
"70775","10/1/11",23,"CENTRAL/WESTERN",22,49,55,28,44,8
"70776","10/1/11",24,"CENTRAL/WESTERN",22,50,59,22,43,8
"70778","11/1/11",2,"CENTRAL/WESTERN",27,20,21,91,51,8
"70779","11/1/11",3,"CENTRAL/WESTERN",27,13,14,95,50,9
"70780","11/1/11",4,"CENTRAL/WESTERN",28,9,9,98,49,12
"70781","11/1/11",5,"CENTRAL/WESTERN",27,8,9,93,44,10
"70782","11/1/11",6,"CENTRAL/WESTERN",25,11,11,86,38,10
"70783","11/1/11",7,"CENTRAL/WESTERN",22,18,20,76,37,9
"70784","11/1/11",8,"CENTRAL/WESTERN",23,38,46,51,39,15
"70785","11/1/11",9,"CENTRAL/WESTERN",23,51,68,46,43,14
"70786","11/1/11",10,"CENTRAL/WESTERN",25,51,67,59,37,12
"70789","11/1/11",13,"CENTRAL/WESTERN",27,31,39,103,47,6
"70790","11/1/11",14,"CENTRAL/WESTERN",22,28,37,107,37,6
"70791","11/1/11",15,"CENTRAL/WESTERN",25,45,56,110,42,8
"70792","11/1/11",16,"CENTRAL/WESTERN",30,46,55,106,53,8
"70793","11/1/11",17,"CENTRAL/WESTERN",32,62,70,97,55,8
"70794","11/1/11",18,"CENTRAL/WESTERN",33,78,85,64,57,7
"70795","11/1/11",19,"CENTRAL/WESTERN",28,66,71,61,49,8
"70796","11/1/11",20,"CENTRAL/WESTERN",30,95,107,31,49,14
"70797","11/1/11",21,"CENTRAL/WESTERN",34,82,88,51,55,9
"70798","11/1/11",22,"CENTRAL/WESTERN",33,72,80,56,53,12
"70799","11/1/11",23,"CENTRAL/WESTERN",38,55,59,66,58,9
"70800","11/1/11",24,"CENTRAL/WESTERN",31,46,49,77,51,8
"70801","12/1/11",1,"CENTRAL/WESTERN",42,62,69,44,56,13
"70802","12/1/11",2,"CENTRAL/WESTERN",42,44,48,44,57,13
"70803","12/1/11",3,"CENTRAL/WESTERN",68,43,47,39,89,12
"70804","12/1/11",4,"CENTRAL/WESTERN",76,24,27,49,94,12
"70805","12/1/11",5,"CENTRAL/WESTERN",76,23,26,45,91,10
"70806","12/1/11",6,"CENTRAL/WESTERN",71,21,24,44,85,9
"70807","12/1/11",7,"CENTRAL/WESTERN",63,41,52,19,77,9
"70808","12/1/11",8,"CENTRAL/WESTERN",56,54,90,7,72,12
"70809","12/1/11",9,"CENTRAL/WESTERN",47,55,114,8,65,15
"70810","12/1/11",10,"CENTRAL/WESTERN",45,61,143,7,68,11
"70811","12/1/11",11,"CENTRAL/WESTERN",42,56,121,12,68,11
"70812","12/1/11",12,"CENTRAL/WESTERN",36,58,120,13,63,11
"70813","12/1/11",13,"CENTRAL/WESTERN",36,62,118,21,68,11
"70814","12/1/11",14,"CENTRAL/WESTERN",38,59,100,27,68,10
"70815","12/1/11",15,"CENTRAL/WESTERN",30,67,106,29,60,10
"70816","12/1/11",16,"CENTRAL/WESTERN",28,64,92,29,56,11
"70817","12/1/11",17,"CENTRAL/WESTERN",26,74,111,21,55,13
"70818","12/1/11",18,"CENTRAL/WESTERN",27,75,112,16,57,13
"70819","12/1/11",19,"CENTRAL/WESTERN",27,70,99,16,56,13
"70820","12/1/11",20,"CENTRAL/WESTERN",26,63,84,21,52,13
"70821","12/1/11",21,"CENTRAL/WESTERN",28,60,95,18,57,12
"70822","12/1/11",22,"CENTRAL/WESTERN",30,57,96,14,55,10
"70823","12/1/11",23,"CENTRAL/WESTERN",26,56,80,11,44,10
"70824","12/1/11",24,"CENTRAL/WESTERN",22,51,70,21,36,9
"70995","8/2/11",3,"CENTRAL/WESTERN",7,7,14,40,20,9
"70996","8/2/11",4,"CENTRAL/WESTERN",7,5,11,42,14,9
"70997","8/2/11",5,"CENTRAL/WESTERN",9,2,8,43,10,9
"70998","8/2/11",6,"CENTRAL/WESTERN",7,2,7,43,11,9
"70999","8/2/11",7,"CENTRAL/WESTERN",8,33,130,17,24,19
"71002","8/2/11",10,"CENTRAL/WESTERN",13,30,79,17,14,14
"71007","8/2/11",15,"CENTRAL/WESTERN",14,49,102,26,30,16
"71012","8/2/11",20,"CENTRAL/WESTERN",15,20,33,23,13,10
"71013","8/2/11",21,"CENTRAL/WESTERN",10,20,35,22,12,9
"71014","8/2/11",22,"CENTRAL/WESTERN",8,18,30,22,12,9
"71015","8/2/11",23,"CENTRAL/WESTERN",5,14,26,23,10,8
"71016","8/2/11",24,"CENTRAL/WESTERN",9,14,25,21,7,8
"71017","9/2/11",1,"CENTRAL/WESTERN",51,71,98,6,66,34
"71018","9/2/11",2,"CENTRAL/WESTERN",55,55,63,10,64,31
"71019","9/2/11",3,"CENTRAL/WESTERN",55,55,65,6,58,31
"71020","9/2/11",4,"CENTRAL/WESTERN",47,71,135,2,55,43
"71021","9/2/11",5,"CENTRAL/WESTERN",52,65,112,3,58,51
"71022","9/2/11",6,"CENTRAL/WESTERN",49,56,83,6,55,40
"71023","9/2/11",7,"CENTRAL/WESTERN",46,49,79,5,57,32
"71024","9/2/11",8,"CENTRAL/WESTERN",50,58,124,4,61,41
"71025","9/2/11",9,"CENTRAL/WESTERN",54,62,123,14,54,38
"71026","9/2/11",10,"CENTRAL/WESTERN",43,66,133,21,61,36
"71027","9/2/11",11,"CENTRAL/WESTERN",49,92,195,12,79,54
"71028","9/2/11",12,"CENTRAL/WESTERN",51,66,103,53,67,34
"71029","9/2/11",13,"CENTRAL/WESTERN",47,62,80,71,66,25
"71030","9/2/11",14,"CENTRAL/WESTERN",47,39,49,83,67,13
"71031","9/2/11",15,"CENTRAL/WESTERN",40,43,54,70,69,25
"71032","9/2/11",16,"CENTRAL/WESTERN",42,37,47,85,59,9
"71033","9/2/11",17,"CENTRAL/WESTERN",45,50,57,87,62,13
"71034","9/2/11",18,"CENTRAL/WESTERN",55,62,70,72,68,15
"71035","9/2/11",19,"CENTRAL/WESTERN",54,98,107,40,71,17
"71036","9/2/11",20,"CENTRAL/WESTERN",50,89,95,41,71,17
"71037","9/2/11",21,"CENTRAL/WESTERN",46,78,84,36,55,16
"71038","9/2/11",22,"CENTRAL/WESTERN",35,78,84,25,49,13
"71039","9/2/11",23,"CENTRAL/WESTERN",35,71,77,32,46,10
"71040","9/2/11",24,"CENTRAL/WESTERN",32,57,62,42,41,8
"71041","10/2/11",1,"CENTRAL/WESTERN",22,36,40,30,40,8
"71042","10/2/11",2,"CENTRAL/WESTERN",20,24,27,37,39,8
"71043","10/2/11",3,"CENTRAL/WESTERN",21,23,25,39,29,8
"71044","10/2/11",4,"CENTRAL/WESTERN",23,17,18,46,33,10
"71045","10/2/11",5,"CENTRAL/WESTERN",21,17,19,40,33,9
"71046","10/2/11",6,"CENTRAL/WESTERN",21,17,19,38,31,8
"71047","10/2/11",7,"CENTRAL/WESTERN",19,31,40,18,37,10
"71048","10/2/11",8,"CENTRAL/WESTERN",24,33,52,18,30,10
"71049","10/2/11",9,"CENTRAL/WESTERN",22,28,44,25,26,10
"71050","10/2/11",10,"CENTRAL/WESTERN",18,24,38,38,20,10
"71051","10/2/11",11,"CENTRAL/WESTERN",16,29,40,38,24,9
"71052","10/2/11",12,"CENTRAL/WESTERN",20,38,54,30,31,11
"71053","10/2/11",13,"CENTRAL/WESTERN",21,39,52,29,30,10
"71054","10/2/11",14,"CENTRAL/WESTERN",19,37,49,28,31,9
"71055","10/2/11",15,"CENTRAL/WESTERN",19,52,78,16,20,12
"71056","10/2/11",16,"CENTRAL/WESTERN",18,49,73,20,21,10
"71057","10/2/11",17,"CENTRAL/WESTERN",19,40,56,28,20,9
"71058","10/2/11",18,"CENTRAL/WESTERN",19,41,54,24,22,10
"71059","10/2/11",19,"CENTRAL/WESTERN",21,40,52,21,26,9
"71060","10/2/11",20,"CENTRAL/WESTERN",22,31,38,27,24,8
"71061","10/2/11",21,"CENTRAL/WESTERN",21,32,41,26,29,7
"71062","10/2/11",22,"CENTRAL/WESTERN",20,26,32,32,26,7
"71063","10/2/11",23,"CENTRAL/WESTERN",22,31,36,29,27,7
"71064","10/2/11",24,"CENTRAL/WESTERN",22,26,30,34,29,7
"71066","11/2/11",2,"CENTRAL/WESTERN",24,16,18,80,48,6
"71067","11/2/11",3,"CENTRAL/WESTERN",19,11,13,80,43,6
"71068","11/2/11",4,"CENTRAL/WESTERN",20,5,7,89,46,8
"71069","11/2/11",5,"CENTRAL/WESTERN",24,6,8,83,52,11
"71070","11/2/11",6,"CENTRAL/WESTERN",28,24,27,62,56,10
"71071","11/2/11",7,"CENTRAL/WESTERN",30,52,63,28,57,9
"71072","11/2/11",8,"CENTRAL/WESTERN",34,64,95,17,61,12
"71073","11/2/11",9,"CENTRAL/WESTERN",42,80,150,12,72,13
"71074","11/2/11",10,"CENTRAL/WESTERN",46,77,129,20,77,11
"71075","11/2/11",11,"CENTRAL/WESTERN",42,65,105,32,68,12
"71076","11/2/11",12,"CENTRAL/WESTERN",29,34,50,56,48,8
"71077","11/2/11",13,"CENTRAL/WESTERN",21,34,45,67,35,10
"71078","11/2/11",14,"CENTRAL/WESTERN",29,49,68,65,43,10
"71079","11/2/11",15,"CENTRAL/WESTERN",33,84,121,51,51,18
"71080","11/2/11",16,"CENTRAL/WESTERN",43,99,122,64,64,16
"71081","11/2/11",17,"CENTRAL/WESTERN",41,91,105,62,65,14
"71082","11/2/11",18,"CENTRAL/WESTERN",34,75,83,64,56,8
"71083","11/2/11",19,"CENTRAL/WESTERN",33,81,88,46,51,9
"71084","11/2/11",20,"CENTRAL/WESTERN",36,77,83,50,54,9
"71085","11/2/11",21,"CENTRAL/WESTERN",34,69,75,52,49,13
"71086","11/2/11",22,"CENTRAL/WESTERN",32,61,67,54,48,9
"71087","11/2/11",23,"CENTRAL/WESTERN",28,41,45,64,44,7
"71088","11/2/11",24,"CENTRAL/WESTERN",25,33,38,61,40,7
"71089","12/2/11",1,"CENTRAL/WESTERN",17,42,51,32,28,8
"71090","12/2/11",2,"CENTRAL/WESTERN",17,39,51,30,26,8
"71091","12/2/11",3,"CENTRAL/WESTERN",19,37,49,19,29,17
"71092","12/2/11",4,"CENTRAL/WESTERN",25,47,78,6,38,24
"71093","12/2/11",5,"CENTRAL/WESTERN",25,41,64,13,40,19
"71094","12/2/11",6,"CENTRAL/WESTERN",21,35,55,19,32,12
"71095","12/2/11",7,"CENTRAL/WESTERN",24,43,78,10,34,12
"71096","12/2/11",8,"CENTRAL/WESTERN",19,45,89,10,30,15
"71097","12/2/11",9,"CENTRAL/WESTERN",23,52,132,5,41,17
"71098","12/2/11",10,"CENTRAL/WESTERN",23,57,143,10,41,15
"71099","12/2/11",11,"CENTRAL/WESTERN",22,56,124,16,40,13
"71100","12/2/11",12,"CENTRAL/WESTERN",24,58,118,26,43,12
"71101","12/2/11",13,"CENTRAL/WESTERN",26,52,82,45,50,11
"71102","12/2/11",14,"CENTRAL/WESTERN",23,60,89,52,47,10
"71103","12/2/11",15,"CENTRAL/WESTERN",26,63,87,58,53,11
"71104","12/2/11",16,"CENTRAL/WESTERN",29,78,109,44,55,13
"71105","12/2/11",17,"CENTRAL/WESTERN",30,74,98,39,58,13
"71106","12/2/11",18,"CENTRAL/WESTERN",27,72,92,33,56,12
"71107","12/2/11",19,"CENTRAL/WESTERN",22,73,91,22,45,12
"71108","12/2/11",20,"CENTRAL/WESTERN",23,75,94,21,42,14
"71109","12/2/11",21,"CENTRAL/WESTERN",28,67,83,20,45,17
"71110","12/2/11",22,"CENTRAL/WESTERN",30,73,97,11,45,13
"71111","12/2/11",23,"CENTRAL/WESTERN",27,79,151,3,42,12
"71112","12/2/11",24,"CENTRAL/WESTERN",27,74,130,6,41,12
"71289","8/3/11",9,"CENTRAL/WESTERN",12,32,140,7,21,21
"71290","8/3/11",10,"CENTRAL/WESTERN",14,31,110,10,23,28
"71298","8/3/11",18,"CENTRAL/WESTERN",11,32,57,23,21,28
"71299","8/3/11",19,"CENTRAL/WESTERN",11,29,51,18,19,20
"71300","8/3/11",20,"CENTRAL/WESTERN",7,18,30,23,18,9
"71301","8/3/11",21,"CENTRAL/WESTERN",8,19,35,16,15,8
"71302","8/3/11",22,"CENTRAL/WESTERN",4,15,26,20,14,7
"71303","8/3/11",23,"CENTRAL/WESTERN",4,20,36,14,14,13
"71304","8/3/11",24,"CENTRAL/WESTERN",9,22,42,18,16,10
"71305","9/3/11",1,"CENTRAL/WESTERN",30,56,60,45,43,7
"71306","9/3/11",2,"CENTRAL/WESTERN",30,38,41,53,40,6
"71307","9/3/11",3,"CENTRAL/WESTERN",26,41,44,44,32,5
"71308","9/3/11",4,"CENTRAL/WESTERN",20,29,32,56,27,4
"71309","9/3/11",5,"CENTRAL/WESTERN",18,21,23,68,30,6
"71310","9/3/11",6,"CENTRAL/WESTERN",17,52,55,35,39,8
"71311","9/3/11",7,"CENTRAL/WESTERN",26,68,78,17,38,7
"71312","9/3/11",8,"CENTRAL/WESTERN",30,65,79,19,32,6
"71313","9/3/11",9,"CENTRAL/WESTERN",25,96,158,8,37,8
"71314","9/3/11",10,"CENTRAL/WESTERN",33,105,221,6,44,12
"71315","9/3/11",11,"CENTRAL/WESTERN",33,88,183,17,45,17
"71316","9/3/11",12,"CENTRAL/WESTERN",35,71,107,32,48,6
"71317","9/3/11",13,"CENTRAL/WESTERN",37,74,103,30,49,6
"71318","9/3/11",14,"CENTRAL/WESTERN",39,65,88,44,49,7
"71319","9/3/11",15,"CENTRAL/WESTERN",41,75,102,47,49,7
"71320","9/3/11",16,"CENTRAL/WESTERN",41,61,75,59,49,6
"71321","9/3/11",17,"CENTRAL/WESTERN",41,47,56,64,41,5
"71322","9/3/11",18,"CENTRAL/WESTERN",38,72,86,32,43,6
"71323","9/3/11",19,"CENTRAL/WESTERN",34,83,96,23,39,6
"71324","9/3/11",20,"CENTRAL/WESTERN",32,80,87,29,42,12
"71325","9/3/11",21,"CENTRAL/WESTERN",33,79,88,25,45,6
"71326","9/3/11",22,"CENTRAL/WESTERN",32,73,83,21,42,7
"71327","9/3/11",23,"CENTRAL/WESTERN",34,55,64,30,38,7
"71328","9/3/11",24,"CENTRAL/WESTERN",30,70,89,14,39,9
"71329","10/3/11",1,"CENTRAL/WESTERN",23,27,31,31,32,8
"71330","10/3/11",2,"CENTRAL/WESTERN",25,16,17,42,32,7
"71331","10/3/11",3,"CENTRAL/WESTERN",24,8,8,51,30,8
"71332","10/3/11",4,"CENTRAL/WESTERN",21,5,6,54,33,8
"71333","10/3/11",5,"CENTRAL/WESTERN",21,5,5,53,30,8
"71334","10/3/11",6,"CENTRAL/WESTERN",26,7,7,51,29,9
"71335","10/3/11",7,"CENTRAL/WESTERN",26,19,22,37,33,9
"71336","10/3/11",8,"CENTRAL/WESTERN",23,34,48,27,35,9
"71337","10/3/11",9,"CENTRAL/WESTERN",24,38,58,23,37,10
"71338","10/3/11",10,"CENTRAL/WESTERN",23,42,72,24,41,10
"71339","10/3/11",11,"CENTRAL/WESTERN",27,40,68,32,45,9
"71343","10/3/11",15,"CENTRAL/WESTERN",30,43,64,35,37,9
"71344","10/3/11",16,"CENTRAL/WESTERN",29,51,74,25,37,9
"71345","10/3/11",17,"CENTRAL/WESTERN",27,49,66,24,38,8
"71346","10/3/11",18,"CENTRAL/WESTERN",27,53,73,18,38,8
"71347","10/3/11",19,"CENTRAL/WESTERN",26,56,80,11,38,8
"71348","10/3/11",20,"CENTRAL/WESTERN",28,51,69,13,36,8
"71349","10/3/11",21,"CENTRAL/WESTERN",26,50,71,12,34,8
"71350","10/3/11",22,"CENTRAL/WESTERN",25,46,62,15,28,8
"71351","10/3/11",23,"CENTRAL/WESTERN",21,44,57,17,24,7
"71352","10/3/11",24,"CENTRAL/WESTERN",19,33,38,28,22,7
"71353","11/3/11",1,"CENTRAL/WESTERN",23,27,31,58,39,6
"71354","11/3/11",2,"CENTRAL/WESTERN",27,20,24,66,45,6
"71355","11/3/11",3,"CENTRAL/WESTERN",29,11,14,68,48,7
"71356","11/3/11",4,"CENTRAL/WESTERN",25,4,5,66,43,10
"71357","11/3/11",5,"CENTRAL/WESTERN",26,1,3,57,43,8
"71358","11/3/11",6,"CENTRAL/WESTERN",23,3,5,60,40,9
"71359","11/3/11",7,"CENTRAL/WESTERN",27,20,24,46,45,9
"71360","11/3/11",8,"CENTRAL/WESTERN",30,56,87,18,49,10
"71361","11/3/11",9,"CENTRAL/WESTERN",39,70,140,8,65,16
"71362","11/3/11",10,"CENTRAL/WESTERN",39,51,83,27,62,13
"71363","11/3/11",11,"CENTRAL/WESTERN",29,48,72,40,47,10
"71364","11/3/11",12,"CENTRAL/WESTERN",30,41,58,58,45,9
"71365","11/3/11",13,"CENTRAL/WESTERN",30,32,44,76,44,8
"71366","11/3/11",14,"CENTRAL/WESTERN",29,39,51,79,41,8
"71367","11/3/11",15,"CENTRAL/WESTERN",30,39,49,92,45,8
"71368","11/3/11",16,"CENTRAL/WESTERN",33,50,60,90,51,9
"71369","11/3/11",17,"CENTRAL/WESTERN",42,58,66,79,62,9
"71370","11/3/11",18,"CENTRAL/WESTERN",45,74,81,59,66,11
"71371","11/3/11",19,"CENTRAL/WESTERN",38,63,69,44,58,8
"71372","11/3/11",20,"CENTRAL/WESTERN",24,63,71,27,39,8
"71373","11/3/11",21,"CENTRAL/WESTERN",17,52,62,22,33,8
"71374","11/3/11",22,"CENTRAL/WESTERN",16,38,47,24,30,5
"71375","11/3/11",23,"CENTRAL/WESTERN",13,28,35,26,27,5
"71376","11/3/11",24,"CENTRAL/WESTERN",11,25,32,28,25,5
"71377","12/3/11",1,"CENTRAL/WESTERN",26,58,78,17,39,11
"71378","12/3/11",2,"CENTRAL/WESTERN",21,54,69,16,31,11
"71379","12/3/11",3,"CENTRAL/WESTERN",18,49,63,18,28,10
"71380","12/3/11",4,"CENTRAL/WESTERN",21,44,64,20,30,14
"71381","12/3/11",5,"CENTRAL/WESTERN",23,40,54,20,31,13
"71382","12/3/11",6,"CENTRAL/WESTERN",22,44,64,10,31,26
"71383","12/3/11",7,"CENTRAL/WESTERN",25,52,74,4,32,28
"71384","12/3/11",8,"CENTRAL/WESTERN",30,62,154,3,38,27
"71385","12/3/11",9,"CENTRAL/WESTERN",32,71,222,3,56,19
"71386","12/3/11",10,"CENTRAL/WESTERN",29,70,175,8,47,13
"71387","12/3/11",11,"CENTRAL/WESTERN",26,67,145,15,45,12
"71388","12/3/11",12,"CENTRAL/WESTERN",23,61,114,27,42,11
"71389","12/3/11",13,"CENTRAL/WESTERN",20,63,104,36,42,10
"71390","12/3/11",14,"CENTRAL/WESTERN",16,74,127,36,39,8
"71391","12/3/11",15,"CENTRAL/WESTERN",15,56,82,56,34,5
"71392","12/3/11",16,"CENTRAL/WESTERN",15,68,98,48,31,6
"71393","12/3/11",17,"CENTRAL/WESTERN",17,84,111,36,33,6
"71394","12/3/11",18,"CENTRAL/WESTERN",17,86,103,31,34,7
"71395","12/3/11",19,"CENTRAL/WESTERN",20,87,101,29,36,7
"71396","12/3/11",20,"CENTRAL/WESTERN",24,72,84,41,37,8
"71397","12/3/11",21,"CENTRAL/WESTERN",23,87,109,23,36,7
"71398","12/3/11",22,"CENTRAL/WESTERN",23,91,116,20,36,9
"71399","12/3/11",23,"CENTRAL/WESTERN",22,107,171,3,37,9
"71400","12/3/11",24,"CENTRAL/WESTERN",24,104,164,6,41,10
"71569","8/4/11",1,"CENTRAL/WESTERN",11,23,46,15,17,7
"71570","8/4/11",2,"CENTRAL/WESTERN",9,16,27,22,17,7
"71571","8/4/11",3,"CENTRAL/WESTERN",8,16,27,20,17,8
"71572","8/4/11",4,"CENTRAL/WESTERN",7,7,14,24,11,12
"71573","8/4/11",5,"CENTRAL/WESTERN",6,7,15,22,12,7
"71574","8/4/11",6,"CENTRAL/WESTERN",5,8,15,21,12,7
"71575","8/4/11",7,"CENTRAL/WESTERN",4,13,25,20,14,7
"71576","8/4/11",8,"CENTRAL/WESTERN",8,24,63,15,15,8
"71577","8/4/11",9,"CENTRAL/WESTERN",4,31,104,11,20,10
"71578","8/4/11",10,"CENTRAL/WESTERN",9,29,84,16,19,12
"71579","8/4/11",11,"CENTRAL/WESTERN",12,31,82,21,17,12
"71580","8/4/11",12,"CENTRAL/WESTERN",12,40,109,17,30,13
"71581","8/4/11",13,"CENTRAL/WESTERN",18,43,105,17,28,15
"71582","8/4/11",14,"CENTRAL/WESTERN",17,46,92,25,29,17
"71583","8/4/11",15,"CENTRAL/WESTERN",13,64,131,21,37,26
"71584","8/4/11",16,"CENTRAL/WESTERN",14,52,84,40,33,21
"71585","8/4/11",17,"CENTRAL/WESTERN",13,36,56,41,24,13
"71586","8/4/11",18,"CENTRAL/WESTERN",11,33,50,35,25,12
"71587","8/4/11",19,"CENTRAL/WESTERN",14,39,61,17,19,13
"71588","8/4/11",20,"CENTRAL/WESTERN",12,55,83,6,20,22
"71589","8/4/11",21,"CENTRAL/WESTERN",8,55,102,4,18,24
"71590","8/4/11",22,"CENTRAL/WESTERN",11,63,139,3,23,31
"71591","8/4/11",23,"CENTRAL/WESTERN",13,56,133,6,22,26
"71592","8/4/11",24,"CENTRAL/WESTERN",8,20,34,28,12,9
"71593","9/4/11",1,"CENTRAL/WESTERN",32,53,61,29,35,9
"71594","9/4/11",2,"CENTRAL/WESTERN",30,60,78,19,35,8
"71595","9/4/11",3,"CENTRAL/WESTERN",33,71,113,7,37,15
"71597","9/4/11",5,"CENTRAL/WESTERN",22,53,66,24,23,5
"71598","9/4/11",6,"CENTRAL/WESTERN",19,52,57,18,29,5
"71599","9/4/11",7,"CENTRAL/WESTERN",22,69,129,4,35,6
"71600","9/4/11",8,"CENTRAL/WESTERN",30,63,134,17,40,9
"71601","9/4/11",9,"CENTRAL/WESTERN",31,45,66,31,43,7
"71602","9/4/11",10,"CENTRAL/WESTERN",32,49,77,34,47,8
"71603","9/4/11",11,"CENTRAL/WESTERN",34,64,120,21,52,12
"71604","9/4/11",12,"CENTRAL/WESTERN",36,66,101,24,52,20
"71605","9/4/11",13,"CENTRAL/WESTERN",41,74,136,25,58,21
"71606","9/4/11",14,"CENTRAL/WESTERN",48,83,141,21,55,25
"71607","9/4/11",15,"CENTRAL/WESTERN",43,96,178,20,57,34
"71608","9/4/11",16,"CENTRAL/WESTERN",41,80,116,38,58,35
"71609","9/4/11",17,"CENTRAL/WESTERN",43,78,105,32,60,21
"71610","9/4/11",18,"CENTRAL/WESTERN",43,66,77,40,51,18
"71611","9/4/11",19,"CENTRAL/WESTERN",42,88,181,18,67,18
"71612","9/4/11",20,"CENTRAL/WESTERN",45,81,150,20,62,17
"71613","9/4/11",21,"CENTRAL/WESTERN",41,66,91,24,55,11
"71614","9/4/11",22,"CENTRAL/WESTERN",41,59,105,25,58,13
"71615","9/4/11",23,"CENTRAL/WESTERN",40,24,28,39,46,9
"71616","9/4/11",24,"CENTRAL/WESTERN",36,29,67,32,49,9
"71618","10/4/11",2,"CENTRAL/WESTERN",16,14,15,44,21,7
"71619","10/4/11",3,"CENTRAL/WESTERN",16,6,7,52,21,7
